timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772216662605,165,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-18,text,false,,1788,234,20,20,https://www.saucedemo.com/,165,0,111
1772216662587,185,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-6,text,false,,1788,234,20,20,https://www.saucedemo.com/,184,0,124
1772216662597,180,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-7,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,180,0,119
1772216662597,183,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-3,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,182,0,120
1772216662607,173,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-19,text,false,,1788,234,20,20,https://www.saucedemo.com/,172,0,114
1772216662539,249,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-13,text,false,,1788,234,20,20,https://www.saucedemo.com/,248,0,109
1772216662618,184,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-8,text,false,,1788,234,20,20,https://www.saucedemo.com/,184,0,121
1772216662637,169,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-17,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,169,0,111
1772216662651,175,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-4,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,175,0,117
1772216662648,183,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-5,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,183,0,121
1772216662647,194,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-10,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,194,0,130
1772216662690,166,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-1,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,166,0,104
1772216662695,165,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-16,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,165,0,107
1772216662691,170,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-15,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,170,0,111
1772216662704,172,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-9,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,172,0,107
1772216662704,175,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-11,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,175,0,109
1772216662724,163,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-2,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,163,0,108
1772216662716,186,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-12,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,185,0,123
1772216662741,179,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-20,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,179,0,119
1772216662763,175,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-14,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,175,0,116
1772216662772,175,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-6,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,175,0,115
1772216662777,177,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-7,text,false,,1788,234,20,20,https://www.saucedemo.com/,177,0,119
1772216662788,166,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-13,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,166,0,109
1772216662780,179,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-3,text,false,,1788,234,20,20,https://www.saucedemo.com/,179,0,119
1772216662770,193,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-18,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,193,0,129
1772216662780,189,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-19,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,189,0,127
1772216662806,163,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-17,text,false,,1788,234,20,20,https://www.saucedemo.com/,163,0,109
1772216662826,164,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-4,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,164,0,112
1772216662802,192,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-8,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,192,0,132
1772216662841,177,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-10,text,false,,1788,234,20,20,https://www.saucedemo.com/,177,0,121
1772216662856,176,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-1,text,false,,1788,234,20,20,https://www.saucedemo.com/,176,0,119
1772216662861,176,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-15,text,false,,1788,234,20,20,https://www.saucedemo.com/,176,0,118
1772216662876,166,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-9,text,false,,1788,234,20,20,https://www.saucedemo.com/,166,0,111
1772216662860,191,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-16,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,191,0,127
1772216662879,174,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-11,text,false,,1788,234,20,20,https://www.saucedemo.com/,174,0,117
1772216662902,160,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-12,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,160,0,109
1772216662887,179,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-2,text,false,,1788,234,20,20,https://www.saucedemo.com/,179,0,119
1772216662920,157,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-20,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,157,0,105
1772216662947,162,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-6,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,162,0,107
1772216662938,171,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-14,text,false,,1788,234,20,20,https://www.saucedemo.com/,171,0,115
1772216662954,163,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-7,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,163,0,108
1772216662959,162,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-3,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,162,0,108
1772216662969,163,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-19,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,163,0,109
1772216662954,180,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-13,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,180,0,120
1772216662969,170,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-17,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,170,0,113
1772216662963,179,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-18,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,179,0,119
1772216662994,159,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-8,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,159,0,107
1772216662991,168,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-4,text,false,,1788,234,20,20,https://www.saucedemo.com/,168,0,111
1772216663018,156,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-10,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,156,0,104
1772216663032,160,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-1,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,160,0,107
1772216663042,170,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-9,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,170,0,112
1772216663037,177,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-15,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,177,0,117
1772216663066,154,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-2,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,154,0,102
1772216663051,173,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-16,text,false,,1788,234,20,20,https://www.saucedemo.com/,173,0,114
1772216663053,173,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-11,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,173,0,115
1772216663077,157,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-20,text,false,,1788,234,20,20,https://www.saucedemo.com/,157,0,101
1772216663062,177,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-12,text,false,,1788,234,20,20,https://www.saucedemo.com/,176,0,118
1772216663117,155,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-7,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,155,0,103
1772216663109,180,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-6,text,false,,1788,234,20,20,https://www.saucedemo.com/,180,0,120
1772216663134,160,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-13,text,false,,1788,234,20,20,https://www.saucedemo.com/,160,0,107
1772216663132,177,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-19,text,false,,1788,234,20,20,https://www.saucedemo.com/,177,0,118
1772216663139,171,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-17,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,170,0,113
1772216663142,177,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-18,text,false,,1788,234,20,20,https://www.saucedemo.com/,177,0,117
1772216662831,492,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-5,text,false,,1788,234,20,20,https://www.saucedemo.com/,492,0,132
1772216663153,172,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-8,text,false,,1788,234,20,20,https://www.saucedemo.com/,172,0,113
1772216663159,184,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-4,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,184,0,121
1772216663174,186,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-10,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,186,0,125
1772216663121,243,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-3,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,243,0,114
1772216663220,158,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-2,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,158,0,103
1772216663213,167,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-9,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,167,0,107
1772216663192,190,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-1,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,190,0,124
1772216663224,165,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-16,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,165,0,108
1772216663226,164,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-11,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,163,0,108
1772216663234,166,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-20,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,166,0,111
1772216663239,167,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-12,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,167,0,111
1772216663214,192,GET - Checkout Step One,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-15,text,false,,1788,142,20,20,https://www.saucedemo.com/checkout-step-one.html,192,0,129
1772216663289,152,GET - Cart,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-6,text,false,,1788,129,20,20,https://www.saucedemo.com/cart.html,152,0,101
1772216663272,172,POST - Login,429,Unknown Error,Thread Group 3 - Kịch bản tùy chỉnh 3-7,text,false,,1788,234,20,20,https://www.saucedemo.com/,172,0,113
